PostalCode,District,Sector,Region,PlanningArea,Latitude,Longitude
307741,11,30,Central Region,Novena,1.316328835,103.8419452
287559,11,28,Central Region,Bukit Timah,1.330484006,103.8099585
299296,11,29,Central Region,Novena,1.328681672,103.8192322
309430,11,30,Central Region,Novena,1.317327989,103.8369869
287542,11,28,Central Region,Bukit Timah,1.330092633,103.8098443
309433,11,30,Central Region,Novena,1.317294906,103.8360249
288420,11,28,Central Region,Bukit Timah,1.328901528,103.8121003
309429,11,30,Central Region,Novena,1.316887545,103.8371798
307748,11,30,Central Region,Novena,1.315880221,103.8420595
309432,11,30,Central Region,Novena,1.316862563,103.8364748
309428,11,30,Central Region,Novena,1.316650192,103.8373921
289533,11,28,Central Region,Bukit Timah,1.333779418,103.7985708
307971,11,30,Central Region,Novena,1.318216773,103.8414937
287136,11,28,Central Region,Bukit Timah,1.330202216,103.8093149
289545,11,28,Central Region,Bukit Timah,1.334317194,103.7987653
309431,11,30,Central Region,Novena,1.317080289,103.8367121
289538,11,28,Central Region,Bukit Timah,1.333843791,103.7989606
287554,11,28,Central Region,Bukit Timah,1.330351933,103.80992
289537,11,28,Central Region,Bukit Timah,1.333797343,103.7988931
289543,11,28,Central Region,Bukit Timah,1.33424606,103.7989228
287553,11,28,Central Region,Bukit Timah,1.330351933,103.80992
287176,11,28,Central Region,Bukit Timah,1.330799548,103.809454
287179,11,28,Central Region,Bukit Timah,1.330806024,103.8095201
308216,11,30,Central Region,Novena,1.323838585,103.8487908
287569,11,28,Central Region,Bukit Timah,1.330475377,103.809558
287570,11,28,Central Region,Bukit Timah,1.330475377,103.809558
287142,11,28,Central Region,Bukit Timah,1.33024619,103.8091873
309389,11,30,Central Region,Novena,1.32417273,103.8405705
287154,11,28,Central Region,Bukit Timah,1.330510534,103.8089998
287180,11,28,Central Region,Bukit Timah,1.33080613,103.8095203
289845,11,28,Central Region,Bukit Timah,1.333373099,103.8095109
287573,11,28,Central Region,Bukit Timah,1.330475377,103.809558
299300,11,29,Central Region,Novena,1.328873878,103.8190254
